01:23:18:642,001MEAUK000006C6S0101209,NG
01:31:12:276,001MEAUK000006C6S0101224,NG
01:55:41:744,001MEAUK000006C6V0100017,NG
02:02:43:198,001MEAUK000006C6V0100025,NG
02:19:23:310,001MEAUK000006C6V0100046,NG
02:21:15:486,001MEAUK000006C6V0100043,NG
02:28:08:426,001MEAUK000006C6V0100040,NG
02:29:43:109,001MEAUK000006C6V0100058,NG
02:48:57:185,001MEAUK000006C6V0100065,NG
03:38:05:257,001MEAUK000006C6V0100088,NG
03:39:43:407,001MEAUK000006C6V0100074,NG
03:52:25:155,001MEAUK000006C6V0100124,NG
04:04:37:051,001MEAUK000006C6V0100122,NG
04:33:40:510,001MEAUK000006C6V0100128,NG
04:47:08:632,001MEAUK000006C6V0100141,NG
05:06:47:917,001MEAUK000006C6V0100147,NG
05:10:36:898,001MEAUK000006C6V0100168,NG
05:26:17:893,001MEAUK000006C6V0100191,NG
05:37:23:150,001MEAUK000006C6V0100202,NG
05:37:57:908,001MEAUK000006C6V0100201,NG
05:59:09:613,001MEAUK000006C6V0100228,NG
06:03:36:687,001MEAUK000006C6V0100227,NG
06:05:26:823,001MEAUK000006C6V0100237,NG
06:15:08:976,001MEAUK000006C6V0100247,NG
06:18:06:548,001MEAUK000006C6V0100256,NG
06:25:17:683,001MEAUK000006C6V0100263,NG
06:29:39:225,001MEAUK000006C6V0100265,NG
06:31:12:631,001MEAUK000006C6V0100269,NG
06:32:31:174,001MEAUK000006C6V0100270,NG
06:34:22:656,001MEAUK000006C6V0100275,NG
06:37:01:455,001MEAUK000006C6V0100273,NG
07:12:05:879,001MEAUK000006C6V0100301,NG
07:13:17:212,001MEAUK000006C6V0100305,NG
07:19:53:381,001MEAUK000006C6V0100314,NG
07:24:10:166,001MEAUK000006C6V0100319,NG
07:47:24:319,001MEAUK000006C6V0100328,NG
09:07:03:111,001MEAUK000006C6V0100369,NG
09:07:40:353,001MEAUK000006C6V0100373,NG
09:19:14:213,001MEAUK000006C6V0100389,NG
09:28:51:246,001MEAUK000006C6V0100353,NG
09:34:14:721,001MEAUK000006C6V0100400,NG
10:14:34:178,001MEAUK000006C6V0100431,NG
10:19:43:703,001MEAUK000006C6V0100443,NG
10:21:28:157,001MEAUK000006C6V0100447,NG
10:58:51:023,001MEAUK000006C6V0100467,NG
11:27:25:876,001MEAUK000006C6V0100518,NG
11:33:30:156,001MEAUK000006C6V0100522,NG
11:37:34:368,001MEAUK000006C6V0100526,NG
12:22:41:292,001MEAUK000006C6V0100543,NG
12:23:14:775,001MEAUK000006C6V0100549,NG
12:55:27:381,001MEAUK000006C6V0100568,NG
13:16:48:229,001MEAUK000006C6V0100589,NG
14:12:43:774,001MEAUK000006C6V0100647,NG
14:14:33:771,001MEAUK000006C6V0100648,NG
14:34:52:953,001MEAUK000006C6V0100683,NG
14:44:58:811,001MEAUK000006C6V0100681,NG
14:55:36:500,001MEAUK000006C6V0100703,NG
15:12:17:704,001MEAUK000006C6V0100706,NG
15:15:32:051,001MEAUK000006C6V0100717,NG
15:24:25:884,001MEAUK000006C6V0100725,NG
16:09:07:528,001MEAUK000006C6V0100749,NG
16:15:15:118,001MEAUK000006C6V0100782,NG
16:20:30:249,001MEAUK000006C6V0100790,NG
16:30:16:406,001MEAUK000006C6V0100801,NG
16:40:25:443,001MEAUK000006C6V0100817,NG
16:52:55:900,001MEAUK000006C6V0100837,NG
17:31:58:521,001MEAUK000006C6V0100877,NG
17:35:44:165,001MEAUK000006C6V0100882,NG
18:00:05:198,001MEAUK000006C6V0100860,NG
18:07:32:874,001MEAUK000006C6V0100920,NG
18:18:02:927,001MEAUK000006C6V0100934,NG
18:41:19:438,001MEAUK000006C6V0100951,NG
19:01:30:432,001MEAUK000006C6V0100966,NG
19:18:38:460,001MEAUK000006C6V0101006,NG
19:37:01:994,001MEAUK000006C6V0101035,NG
20:34:33:222,001MEAUK000006C6V0101095,NG
20:40:46:686,001MEAUK000006C6V0101058,NG
21:14:02:829,001MEAUK000006C6V0101139,NG
21:18:11:355,001MEAUK000006C6V0101147,NG
21:32:50:888,001MEAUK000006C6V0101167,NG
21:48:15:773,001MEAUK000006C6V0101172,NG
21:49:08:526,001MEAUK000006C6V0101182,NG
21:49:45:205,001MEAUK000006C6V0101195,NG
21:50:38:119,001MEAUK000006C6V0101194,NG
22:02:59:622,001MEAUK000006C6V0101190,NG
22:06:44:371,001MEAUK000006C6V0101220,NG
22:30:19:045,001MEAUK000006C6V0101242,NG
23:23:15:578,001MEAUK000006C6V0101275,NG
23:34:58:480,001MEAUK000006C6V0100932,NG
23:54:37:734,001MEAUK000006C6V0101304,NG
